,Runoff_mmd,pcp_era5,sf_era5,smlt_era5,pev_era5,t2m_era5,asn_era5,snowc_era5,sde_era5,sd_era5,swvl1_era5
2002/5/6,0.395948716,4.656295776,4.256871223,0.028150756,-7.985934613,273.5442611,0.652916328,94.18489838,1.015491605,0.360162096,0.199132308
2002/5/7,0.424920573,2.211237192,2.067277908,0,-10.67374975,272.1136386,0.684705146,94.18489838,1.018767595,0.362537968,0.198855624
2002/5/8,0.473207002,14.78312111,14.66307068,0,-8.975801451,272.7120817,0.799197916,94.18489838,1.081874132,0.375004384,0.198246226
2002/5/9,0.527287787,0.554427445,0.539869487,0,-13.85034677,271.0699168,0.780250221,94.18489838,1.096957684,0.378064835,0.197626248
2002/5/10,0.598751716,5.116037846,3.448769808,0,-5.513645917,273.3453467,0.768824402,94.18489838,1.0936203,0.378920791,0.197314009
2002/5/11,0.695324574,1.763945937,0.388820231,3.084268332,-8.530252065,275.1650015,0.74594986,94.18489838,1.089460969,0.382200014,0.207204044
2002/5/12,0.791897431,0.706495523,0.687655509,0.030455796,-10.53701375,271.2153933,0.704679996,94.18489838,1.065858364,0.37987712,0.23549442
2002/5/13,0.90778486,0.226119578,0.224665061,0,-11.6218598,269.2794976,0.685840323,94.18489838,1.058754563,0.378833101,0.225224286
2002/5/14,1.023672289,0.000417233,0,0,-13.87653134,273.4290851,0.676092419,94.18489838,1.049491167,0.378140986,0.219725177
2002/5/15,1.15887429,11.7927618,11.72413921,0,-5.94125377,273.3145082,0.706822734,94.18489838,1.053592801,0.381225176,0.21611236
2002/5/16,1.303733576,1.010319948,0.934341908,0.16646114,-5.918885422,273.7700842,0.770055906,94.18489838,1.097025871,0.389569172,0.213818073
2002/5/17,1.506536577,0.761369586,0.451979667,1.019532681,-5.60826172,273.8299214,0.721785208,94.18489838,1.080333829,0.389399454,0.216551989
2002/5/18,1.738311435,3.215062857,2.565402508,5.488400459,-6.7118541,274.9702425,0.7095974,94.18489838,1.071735263,0.389000821,0.23968029
2002/5/19,2.028030007,5.60011816,5.585356236,1.33E-05,-5.895441134,272.5765832,0.717166194,94.18489838,1.07070756,0.387699016,0.257960737
2002/5/20,2.317748579,0.824346662,0.817943573,0,-8.387315891,272.1352399,0.727333594,94.18489838,1.086519241,0.390624346,0.241938338
